;Vespucio Entrada Tag;Vespucio Salida Tag;Rinconada Entrada;Rinconada Salida;Padre Hurtado Entrada;Padre Hurtado Salida;Malloco Centro Entrada 1;Malloco Centre Salida;Talagante Entrada;Talagante Salida;Melipilla Entrada;Melipilla Salida;Malloco Centro Entrada 2;
codigo;801;802;803;804;805;806;807;808;809;810;811;812;849;
2024-04-28 00;199;314;258;273;156;198;176;152;90;119;47;64;52;228
2024-04-28 01;144;364;160;252;121;186;132;155;64;121;38;54;29;161
2024-04-28 02;110;155;133;169;89;110;86;88;58;76;14;44;17;103
2024-04-28 03;71;112;92;97;69;68;64;55;54;44;11;24;13;77
2024-04-28 04;64;87;95;63;61;48;54;40;36;37;10;12;20;74
2024-04-28 05;67;83;115;91;60;55;44;30;37;27;18;19;20;64
2024-04-28 06;102;71;175;86;84;47;112;33;61;28;23;38;37;149
2024-04-28 07;188;129;237;90;161;70;152;55;76;47;42;52;39;191
2024-04-28 08;261;204;307;138;187;97;293;139;117;77;61;137;55;348
2024-04-28 09;253;243;366;160;264;158;280;191;153;119;94;162;77;357
2024-04-28 10;313;274;433;187;360;197;344;212;166;168;161;240;116;460
2024-04-28 11;307;336;461;217;353;189;356;241;184;177;210;298;96;452
2024-04-28 12;302;382;524;316;390;280;382;292;217;213;369;367;115;497
2024-04-28 13;326;455;538;386;418;401;346;371;239;233;423;272;110;456
2024-04-28 14;376;481;423;385;345;358;357;383;211;253;361;201;113;470
2024-04-28 15;312;403;419;310;295;288;343;264;200;199;518;195;114;457
2024-04-28 16;422;389;509;344;364;334;442;253;248;214;765;215;140;582
2024-04-28 17;473;420;535;426;390;370;433;305;313;213;1040;228;146;579
2024-04-28 18;502;433;629;523;434;363;489;311;363;252;1123;231;175;664
2024-04-28 19;465;440;544;457;432;423;391;343;314;260;1051;221;133;524
2024-04-28 20;440;485;548;560;361;462;353;371;259;252;719;176;128;481
2024-04-28 21;340;412;436;486;289;359;267;288;184;234;431;175;85;352
2024-04-28 22;216;339;297;300;140;242;148;203;115;168;221;123;46;194
2024-04-28 23;167;153;187;169;82;129;79;106;63;88;83;89;22;101
