;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
codigo;Padre Hurtado Entrada;Malloco Entrada;Vespucio Salida;Malloco Salida;Padre Hurtado Salida;Rinconada Salida;Talagante Salida;Rinconada Entrada;Pomaire/Melipilla Salida;El Paico Entrada;Pomaire/Melipilla Entrada;Talagante Entrada;El Paico Salida;Vespucio Entrada;Puangue Salida;Puangue Entrada
00;382;204;489;327;608;572;233;361;165;124;90;145;176;224;97;51
01;194;124;249;183;335;316;124;206;100;86;89;95;113;121;60;59
02;137;85;132;96;158;192;71;165;68;73;55;73;65;131;61;43
03;137;105;103;63;125;139;47;142;31;58;57;68;34;96;26;36
04;249;179;109;90;153;172;68;326;38;89;110;113;39;197;26;84
05;972;867;196;165;238;341;134;1053;77;392;367;522;111;677;45;216
06;4730;3727;546;450;616;838;381;4805;214;1026;719;1838;314;3741;160;234
07;3605;2334;1453;1318;1604;1898;1325;5016;693;1089;651;1148;773;4905;458;301
08;2848;2383;1648;1610;2043;2421;1362;4037;801;968;712;1458;989;4528;441;413
09;2840;2291;1625;1666;2017;2303;1411;3814;966;985;795;1446;1106;3469;496;438
10;2444;2014;1681;1580;1881;2200;1406;3030;994;978;784;1330;1126;2745;545;448
11;2164;1824;1733;1516;1825;2125;1309;2713;982;937;819;1259;1034;2265;612;497
12;2080;1707;2039;1490;1893;2387;1286;2577;839;924;794;1212;976;2098;551;506
13;2033;1773;2127;1614;2045;2501;1239;2574;934;962;814;1295;984;2017;580;488
14;1987;1687;2266;1683;2205;2609;1238;2534;762;963;820;1230;903;2007;491;494
15;1815;1582;2306;1747;2286;2822;1260;2347;811;934;832;1134;899;1817;465;517
16;1924;1681;2891;1898;2628;3266;1313;2459;817;1079;948;1275;927;1935;440;634
17;2317;2128;3964;2724;3604;4409;1630;2898;846;1233;1050;1533;1077;2213;476;759
18;2520;2560;4496;3158;4075;5096;1723;2979;903;1324;1089;1692;1064;2325;447;670
19;1885;1885;3863;2902;3761;4412;1530;2360;780;1069;861;1294;987;1968;368;516
20;1293;1109;2623;1872;2716;3253;1168;1727;611;652;545;817;743;1260;291;312
21;917;829;1647;1250;1726;2045;755;1274;438;505;396;626;505;867;236;227
22;651;562;1283;860;1217;1558;538;952;286;319;259;373;365;653;201;145
23;444;373;1008;583;813;1150;361;721;213;172;129;245;262;501;98;75
